time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
0.000,8,3,38,2,37,0,0,a3,-3.79,-0.24,0.00,1000.00,1,0,56.332579,4.752331,0.0,static,31.7,31.3,
0.000,13,2,38,1,37,0,0,a3,-18.61,-14.17,0.00,1000.00,0,0,47.637161,16.836515,77.4,hst,10.1,18.2,LowSINR
1.000,8,38,3,37,2,0,0,a3,-4.33,-0.80,0.00,1.00,1,1,56.332579,4.752331,0.0,static,31.1,31.5,
1.000,13,2,38,1,37,0,0,a3,-21.94,-12.03,0.00,1001.00,0,0,47.637841,16.836731,77.4,hst,10.2,18.2,LowSINR
1.000,18,38,3,37,2,0,0,a3,-18.80,-12.68,0.00,1001.00,1,0,52.608169,18.865008,1.7,pedestrian,16.3,18.5,
1.000,31,38,2,37,1,0,0,a3,-9.34,-5.91,0.00,1001.00,1,0,42.112497,5.702948,0.5,pedestrian,29.5,29.1,
2.000,19,3,49,2,48,0,0,a3,-16.48,-10.75,0.00,1002.00,1,0,55.111534,32.880510,0.0,static,14.5,15.4,
3.000,8,3,38,2,37,0,0,a3,-6.53,-0.29,0.00,2.00,1,1,56.332579,4.752331,0.0,static,31.1,30.8,
4.000,9,3,38,2,37,0,0,a3,-16.75,-13.37,0.00,1004.00,1,0,49.961199,19.638143,0.0,static,13.2,15.3,
4.000,13,2,38,1,37,0,0,a3,-16.22,-12.44,0.00,1004.00,1,0,47.639882,16.837378,77.4,hst,10.4,18.2,
4.000,19,49,3,48,2,0,0,a3,-17.53,-11.99,0.00,2.00,1,1,55.111534,32.880510,0.0,static,15.3,14.4,
6.000,19,3,49,2,48,0,0,a3,-20.91,-12.98,0.00,2.00,1,1,55.111534,32.880510,0.0,static,14.3,15.2,
7.000,31,2,38,1,37,0,0,a3,-4.03,-0.75,0.00,6.00,1,1,42.112470,5.702956,0.5,pedestrian,30.3,30.3,
8.000,9,38,3,37,2,0,0,a3,-14.77,-9.98,0.00,4.00,1,1,49.961199,19.638143,0.0,static,15.2,12.9,
8.000,15,2,39,1,38,0,0,a3,-16.85,-10.83,0.00,1008.00,1,0,26.815065,-11.603283,20.6,vehicular,19.0,16.7,
