time_s,total_hos,successful_hos,failed_hos,ping_pongs,ho_success_rate,avg_sinr_dB,ho_rate_per_ue_per_min
0.000,2,1,1,0,50.0,-8.67,0.0000
5.000,11,9,2,3,81.8,-8.99,2.6400
10.000,18,16,2,9,88.9,-8.59,2.1600
15.000,23,20,3,14,87.0,-8.87,1.8400
20.000,28,23,5,17,82.1,-8.31,1.6800
25.000,31,26,5,19,83.9,-8.72,1.4880
30.000,40,32,8,25,80.0,-8.56,1.6000
35.000,42,34,8,25,81.0,-9.40,1.4400
40.000,47,37,10,28,78.7,-9.69,1.4100
45.000,52,42,10,31,80.8,-9.38,1.3867
50.000,57,45,12,33,78.9,-10.04,1.3680
55.000,66,52,14,39,78.8,-10.03,1.4400
60.000,73,57,16,44,78.1,-9.64,1.4600
65.000,80,64,16,47,80.0,-9.82,1.4769
70.000,87,70,17,53,80.5,-10.10,1.4914
75.000,95,77,18,59,81.1,-10.79,1.5200
80.000,105,84,21,66,80.0,-10.63,1.5750
85.000,112,88,24,69,78.6,-10.88,1.5812
90.000,121,91,30,71,75.2,-10.83,1.6133
95.000,128,96,32,73,75.0,-9.40,1.6168
100.000,136,99,37,78,72.8,-11.30,1.6320
105.000,147,106,41,82,72.1,-13.41,1.6800
110.000,159,114,45,88,71.7,-13.41,1.7345
115.000,170,122,48,92,71.8,-13.97,1.7739
120.000,179,126,53,96,70.4,-13.14,1.7900
125.000,191,137,54,100,71.7,-13.84,1.8336
130.000,206,145,61,105,70.4,-13.40,1.9015
135.000,218,151,67,110,69.3,-13.65,1.9378
140.000,230,161,69,116,70.0,-14.28,1.9714
145.000,252,175,77,127,69.4,-14.29,2.0855
150.000,272,186,86,136,68.4,-12.76,2.1760
155.000,284,192,92,142,67.6,-14.03,2.1987
160.000,303,203,100,151,67.0,-13.64,2.2725
165.000,312,206,106,153,66.0,-14.18,2.2691
170.000,323,213,110,156,65.9,-13.77,2.2800
175.000,337,220,117,160,65.3,-13.77,2.3109
180.000,354,232,122,168,65.5,-13.43,2.3600
185.000,364,236,128,175,64.8,-13.07,2.3611
190.000,376,244,132,181,64.9,-12.95,2.3747
195.000,393,258,135,193,65.6,-12.56,2.4185
200.000,408,269,139,202,65.9,-12.62,2.4480
205.000,417,273,144,209,65.5,-12.36,2.4410
210.000,423,277,146,213,65.5,-12.53,2.4171
215.000,428,282,146,216,65.9,-12.20,2.3888
220.000,438,289,149,223,66.0,-12.27,2.3891
225.000,444,293,151,226,66.0,-12.15,2.3680
230.000,450,297,153,229,66.0,-11.57,2.3478
235.000,460,303,157,235,65.9,-11.54,2.3489
240.000,471,311,160,242,66.0,-12.69,2.3550
245.000,477,316,161,244,66.2,-12.76,2.3363
250.000,481,320,161,248,66.5,-12.63,2.3088
255.000,490,328,162,253,66.9,-12.98,2.3059
260.000,497,334,163,259,67.2,-14.64,2.2938
265.000,500,337,163,262,67.4,-14.56,2.2642
270.000,505,340,165,264,67.3,-14.28,2.2444
275.000,508,343,165,266,67.5,-13.61,2.2167
280.000,511,346,165,268,67.7,-13.77,2.1900
285.000,515,348,167,270,67.6,-14.35,2.1684
290.000,518,351,167,272,67.8,-13.63,2.1434
295.000,526,358,168,274,68.1,-13.89,2.1397
300.000,531,363,168,277,68.4,-13.61,2.1240
305.000,538,367,171,283,68.2,-14.20,2.1167
310.000,548,373,175,289,68.1,-13.93,2.1213
315.000,558,380,178,296,68.1,-13.82,2.1257
320.000,562,384,178,299,68.3,-14.38,2.1075
325.000,568,389,179,302,68.5,-13.97,2.0972
330.000,575,394,181,305,68.5,-14.05,2.0909
335.000,580,396,184,309,68.3,-14.37,2.0776
340.000,587,402,185,312,68.5,-14.34,2.0718
345.000,593,408,185,317,68.8,-14.41,2.0626
350.000,600,413,187,323,68.8,-14.05,2.0571
355.000,607,418,189,326,68.9,-14.14,2.0518
360.000,610,420,190,328,68.9,-13.84,2.0333
365.000,618,426,192,331,68.9,-12.68,2.0318
370.000,622,430,192,334,69.1,-12.76,2.0173
375.000,627,433,194,336,69.1,-12.73,2.0064
380.000,635,439,196,342,69.1,-13.10,2.0053
385.000,646,447,199,348,69.2,-12.96,2.0135
390.000,652,449,203,351,68.9,-13.29,2.0062
395.000,664,458,206,356,69.0,-14.81,2.0172
400.000,675,468,207,362,69.3,-13.24,2.0250
405.000,684,475,209,367,69.4,-12.91,2.0267
410.000,695,482,213,374,69.4,-12.94,2.0341
415.000,709,491,218,384,69.3,-12.89,2.0501
420.000,715,497,218,387,69.5,-12.47,2.0429
425.000,724,505,219,393,69.8,-12.77,2.0442
430.000,735,514,221,400,69.9,-12.65,2.0512
435.000,740,518,222,400,70.0,-12.46,2.0414
440.000,748,523,225,406,69.9,-12.51,2.0400
445.000,751,525,226,408,69.9,-12.32,2.0252
450.000,758,529,229,409,69.8,-11.72,2.0213
455.000,769,537,232,414,69.8,-11.83,2.0281
460.000,783,547,236,421,69.9,-12.06,2.0426
465.000,787,550,237,424,69.9,-11.80,2.0310
470.000,793,553,240,427,69.7,-12.00,2.0247
475.000,798,557,241,429,69.8,-11.82,2.0160
480.000,804,561,243,433,69.8,-11.61,2.0100
485.000,808,564,244,433,69.8,-11.93,1.9992
490.000,812,566,246,434,69.7,-11.49,1.9886
495.000,818,570,248,437,69.7,-9.32,1.9830
500.000,822,574,248,439,69.8,-9.23,1.9728
505.000,827,577,250,441,69.8,-9.57,1.9651
510.000,832,581,251,444,69.8,-9.87,1.9576
515.000,836,583,253,446,69.7,-9.50,1.9480
520.000,843,589,254,452,69.9,-9.33,1.9454
525.000,851,595,256,456,69.9,-10.34,1.9451
530.000,856,599,257,461,70.0,-9.89,1.9381
535.000,863,605,258,465,70.1,-9.68,1.9357
540.000,869,610,259,469,70.2,-9.76,1.9311
545.000,876,616,260,473,70.3,-10.58,1.9288
550.000,884,622,262,480,70.4,-10.24,1.9287
555.000,888,625,263,483,70.4,-10.23,1.9200
560.000,893,629,264,486,70.4,-9.63,1.9136
565.000,902,637,265,493,70.6,-10.36,1.9158
570.000,903,638,265,494,70.7,-12.12,1.9011
575.000,910,641,269,496,70.4,-10.71,1.8991
580.000,915,644,271,500,70.4,-10.49,1.8931
585.000,923,649,274,505,70.3,-11.42,1.8933
590.000,929,654,275,508,70.4,-11.17,1.8895
595.000,940,661,279,515,70.3,-11.24,1.8958
