time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
0.000,8,37,0,38,47.53,25.00,28.00,1,a3
0.000,44,2,0,3,39.68,22.00,25.00,0,a3
1.000,8,2,0,3,44.99,25.00,28.00,1,a3
1.000,31,1,0,2,43.74,22.00,25.00,0,a3
2.000,47,38,0,39,31.63,22.00,25.00,1,a3
3.000,8,37,0,38,45.93,25.00,28.00,1,a3
3.000,47,38,0,39,31.62,22.00,25.00,0,a3
4.000,31,37,0,38,44.74,22.00,25.00,0,a3
5.000,31,37,0,38,45.50,25.00,28.00,1,a3
5.000,47,38,0,39,39.14,22.00,25.00,0,a3
7.000,31,37,0,38,46.73,25.00,28.00,1,a3
8.000,8,2,0,3,41.75,25.00,28.00,0,a3
8.000,33,37,0,38,46.60,25.00,28.00,1,a3
9.000,8,2,0,3,48.10,22.00,25.00,0,a3
10.000,8,2,0,3,45.11,22.00,25.00,0,a3
10.000,31,1,0,2,41.77,25.00,28.00,1,a3
11.000,8,2,0,3,45.75,22.00,25.00,1,a3
11.000,33,37,0,38,50.42,25.00,28.00,0,a3
13.000,31,37,0,38,43.02,25.00,28.00,1,a3
15.000,8,37,0,38,44.15,22.00,25.00,0,a3
16.000,31,37,0,38,45.49,25.00,28.00,1,a3
17.000,31,1,0,2,46.17,25.00,28.00,1,a3
17.000,33,37,0,38,53.19,25.00,28.00,1,a3
17.000,35,2,0,3,43.81,22.00,25.00,0,a3
19.000,8,37,0,38,40.78,22.00,25.00,1,a3
20.000,8,37,0,38,45.06,22.00,25.00,0,a3
21.000,8,37,0,38,45.23,22.00,25.00,0,a3
22.000,8,37,0,38,41.79,22.00,25.00,0,a3
23.000,31,1,0,2,50.03,25.00,28.00,1,a3
25.000,33,1,0,2,54.15,25.00,28.00,1,a3
26.000,8,37,0,38,41.50,22.00,25.00,0,a3
28.000,8,37,0,38,41.25,22.00,25.00,0,a3
28.000,44,2,0,3,37.41,22.00,25.00,0,a3
29.000,8,37,0,38,44.52,22.00,25.00,1,a3
30.000,8,2,0,3,42.83,22.00,25.00,0,a3
30.000,31,37,0,38,49.24,25.00,28.00,1,a3
31.000,8,2,0,3,41.05,22.00,25.00,0,a3
32.000,8,2,0,3,33.22,22.00,25.00,0,a3
32.000,31,1,0,2,52.16,25.00,28.00,1,a3
35.000,44,2,0,3,32.21,22.00,25.00,0,a3
35.000,47,38,0,39,25.58,18.00,21.00,0,a3
36.000,44,2,0,3,35.30,22.00,25.00,0,a3
37.000,33,37,0,38,51.95,25.00,28.00,1,a3
38.000,8,2,0,3,45.48,22.00,25.00,1,a3
38.000,31,1,0,2,52.37,25.00,28.00,1,a3
40.000,16,1,0,2,38.78,22.00,25.00,1,a3
40.000,31,37,0,38,50.15,25.00,28.00,1,a3
41.000,31,1,0,2,54.33,25.00,28.00,1,a3
42.000,44,2,0,3,35.02,22.00,25.00,0,a3
44.000,31,37,0,38,44.02,25.00,28.00,1,a3
47.000,8,2,0,3,32.81,22.00,25.00,1,a3
48.000,31,1,0,2,50.02,25.00,28.00,1,a3
48.000,44,2,0,3,39.14,22.00,25.00,1,a3
49.000,44,37,0,38,43.71,22.00,25.00,0,a3
52.000,44,37,0,38,42.06,22.00,25.00,0,a3
53.000,8,37,0,38,43.10,22.00,25.00,1,a3
53.000,33,1,0,2,64.36,25.00,28.00,1,a3
54.000,8,37,0,38,34.58,22.00,25.00,0,a3
54.000,13,37,0,38,27.64,18.00,21.00,0,a3
54.000,33,37,0,38,59.70,25.00,28.00,1,a3
55.000,8,37,0,38,39.17,22.00,25.00,0,a3
55.000,33,1,0,2,60.72,25.00,28.00,1,a3
56.000,8,2,0,3,34.99,22.00,25.00,0,a3
