time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
0.000,8,3,38,2,37,0,0,location,-3.79,-0.24,0.00,1000.00,1,0,56.332579,4.752331,0.0,static,31.7,31.3,
1.000,31,38,2,37,1,0,0,location,-6.22,-4.04,0.00,1001.00,1,0,42.112497,5.702948,0.5,pedestrian,29.5,29.1,
2.000,31,2,38,1,37,0,0,location,-8.79,-4.95,0.00,1.00,1,1,42.112492,5.702949,0.5,pedestrian,29.3,29.6,
4.000,33,2,38,1,37,0,0,location,-4.64,-1.41,0.00,1004.00,1,0,39.432590,-3.521291,0.0,static,35.3,30.7,
6.000,8,38,3,37,2,0,0,location,-5.07,-3.62,0.00,6.00,1,1,56.332579,4.752331,0.0,static,30.3,30.5,
6.000,31,38,2,37,1,0,0,location,-5.31,-0.96,0.00,4.00,1,1,42.112475,5.702955,0.5,pedestrian,30.2,30.1,
6.000,33,38,2,37,1,0,0,location,-6.30,-3.02,0.00,2.00,1,1,39.432590,-3.521291,0.0,static,31.1,35.7,
7.000,31,2,38,1,37,0,0,location,-5.17,-2.30,0.00,1.00,1,1,42.112470,5.702956,0.5,pedestrian,30.3,30.3,
8.000,31,38,2,37,1,0,0,location,-4.16,-0.92,0.00,1.00,1,1,42.112466,5.702958,0.5,pedestrian,30.4,30.5,
9.000,33,2,38,1,37,0,0,location,-5.13,-2.38,0.00,3.00,1,1,39.432590,-3.521291,0.0,static,36.3,31.7,
11.000,8,3,38,2,37,0,0,location,-5.31,-4.91,0.00,5.00,1,1,56.332579,4.752331,0.0,static,29.5,29.5,
11.000,31,2,38,1,37,0,0,location,-5.02,-2.69,0.00,3.00,1,1,42.112453,5.702962,0.5,pedestrian,31.1,30.8,
