time_s,total_hos,successful_hos,failed_hos,ping_pongs,ho_success_rate,avg_sinr_dB,ho_rate_per_ue_per_min
0.000,1,1,0,0,100.0,-8.38,0.0000
5.000,4,4,0,1,100.0,-7.89,0.9600
10.000,10,10,0,7,100.0,-8.64,1.2000
15.000,15,15,0,12,100.0,-8.91,1.2000
20.000,19,19,0,16,100.0,-8.55,1.1400
25.000,21,21,0,18,100.0,-8.74,1.0080
30.000,23,23,0,20,100.0,-8.91,0.9200
35.000,23,23,0,20,100.0,-9.71,0.7886
40.000,26,26,0,21,100.0,-9.66,0.7800
45.000,27,27,0,22,100.0,-11.22,0.7200
50.000,28,28,0,22,100.0,-11.42,0.6720
55.000,31,31,0,23,100.0,-12.19,0.6764
60.000,32,32,0,24,100.0,-11.85,0.6400
65.000,33,32,1,24,97.0,-11.69,0.6092
70.000,36,35,1,25,97.2,-12.30,0.6171
75.000,41,40,1,28,97.6,-12.07,0.6560
80.000,47,46,1,32,97.9,-12.27,0.7050
85.000,54,53,1,38,98.1,-12.28,0.7624
90.000,55,54,1,39,98.2,-13.07,0.7333
95.000,56,55,1,40,98.2,-12.91,0.7074
100.000,58,57,1,41,98.3,-15.19,0.6960
105.000,62,61,1,43,98.4,-16.81,0.7086
110.000,66,65,1,46,98.5,-17.16,0.7200
115.000,68,67,1,48,98.5,-18.44,0.7096
120.000,77,76,1,52,98.7,-18.89,0.7700
125.000,81,80,1,54,98.8,-20.79,0.7776
130.000,85,84,1,55,98.8,-20.79,0.7846
135.000,92,91,1,58,98.9,-20.42,0.8178
140.000,95,94,1,60,98.9,-21.56,0.8143
145.000,98,97,1,61,99.0,-20.78,0.8110
150.000,100,99,1,62,99.0,-23.05,0.8000
155.000,105,104,1,65,99.0,-24.74,0.8129
160.000,106,105,1,66,99.1,-24.49,0.7950
165.000,108,107,1,66,99.1,-24.32,0.7855
170.000,110,109,1,67,99.1,-24.70,0.7765
175.000,111,110,1,67,99.1,-24.83,0.7611
180.000,112,111,1,67,99.1,-27.73,0.7467
185.000,114,113,1,68,99.1,-27.75,0.7395
190.000,122,121,1,70,99.2,-26.94,0.7705
195.000,126,125,1,72,99.2,-25.42,0.7754
200.000,130,129,1,74,99.2,-25.01,0.7800
205.000,132,131,1,74,99.2,-25.00,0.7727
210.000,136,135,1,78,99.3,-28.35,0.7771
215.000,138,137,1,79,99.3,-27.77,0.7702
220.000,140,139,1,79,99.3,-26.59,0.7636
225.000,141,140,1,79,99.3,-26.32,0.7520
230.000,143,142,1,80,99.3,-26.04,0.7461
235.000,145,144,1,80,99.3,-26.46,0.7404
240.000,149,148,1,81,99.3,-27.12,0.7450
245.000,153,152,1,83,99.3,-27.02,0.7494
250.000,156,155,1,84,99.4,-26.84,0.7488
255.000,159,158,1,86,99.4,-28.79,0.7482
260.000,164,163,1,89,99.4,-26.63,0.7569
265.000,165,164,1,90,99.4,-26.44,0.7472
270.000,168,167,1,90,99.4,-24.43,0.7467
275.000,172,171,1,93,99.4,-23.86,0.7505
280.000,175,174,1,94,99.4,-24.38,0.7500
285.000,182,181,1,98,99.5,-24.60,0.7663
290.000,183,182,1,99,99.5,-24.65,0.7572
295.000,188,187,1,101,99.5,-23.98,0.7647
300.000,194,193,1,107,99.5,-23.94,0.7760
305.000,198,197,1,111,99.5,-24.13,0.7790
310.000,202,201,1,115,99.5,-24.46,0.7819
315.000,205,204,1,117,99.5,-22.69,0.7810
320.000,211,210,1,119,99.5,-22.73,0.7913
325.000,214,213,1,120,99.5,-21.10,0.7902
330.000,218,217,1,124,99.5,-20.69,0.7927
335.000,221,220,1,126,99.5,-20.88,0.7916
340.000,223,222,1,128,99.6,-21.08,0.7871
345.000,225,224,1,129,99.6,-21.01,0.7826
350.000,228,227,1,129,99.6,-19.10,0.7817
355.000,231,230,1,131,99.6,-18.85,0.7808
