time_s,ue_id,sat_id,beam_id,cell_id,rsrp_dBm,sinr_dB,path_loss_dB,antenna_gain_dB,elevation_deg,range_km,doppler_Hz,propagation_delay_ms,ue_lat,ue_lon
0.000,0,2,0,3,-99.94,-7.71,164.94,22.00,23.3,1588.9,9181,5.300,64.887392,35.953442
0.000,0,13,0,14,-106.45,-14.22,167.45,18.00,19.7,1747.9,10383,5.830,64.887392,35.953442
0.000,0,47,0,48,-108.08,-15.85,169.08,18.00,14.0,2053.6,12365,6.850,64.887392,35.953442
0.000,1,2,0,3,-92.81,-0.58,160.81,25.00,46.1,1032.9,4475,3.445,64.961638,-5.834688
0.000,1,36,0,37,-103.56,-11.33,164.56,18.00,13.0,2114.1,13544,7.052,64.961638,-5.834688
0.000,1,37,0,38,-105.09,-12.86,166.09,18.00,14.3,2037.1,12244,6.795,64.961638,-5.834688
0.000,2,2,0,3,-95.55,-3.32,160.55,22.00,27.1,1454.8,8455,4.853,62.421534,30.778682
0.000,2,13,0,14,-107.24,-15.01,168.24,18.00,13.7,2070.6,13253,6.907,62.421534,30.778682
0.000,3,1,0,2,-94.03,-1.80,162.03,25.00,34.4,1248.3,6339,4.164,34.183704,12.064975
0.000,4,2,0,3,-89.85,2.37,157.85,25.00,32.9,1285.3,7010,4.287,62.565382,26.703741
0.000,4,13,0,14,-109.04,-16.81,170.04,18.00,11.1,2246.9,14543,7.495,62.565382,26.703741
0.000,5,48,0,49,-107.84,-15.61,168.84,18.00,13.5,2085.8,12997,6.957,45.726054,31.901681
0.000,6,1,0,2,-104.73,-12.50,165.73,18.00,13.7,2074.0,12803,6.918,27.369473,20.231860
0.000,7,1,0,2,-90.64,1.59,161.64,28.00,55.8,920.8,3211,3.071,32.902036,-2.622221
0.000,7,38,0,39,-106.59,-14.37,167.59,18.00,13.2,2102.5,12695,7.013,32.902036,-2.622221
0.000,7,37,0,38,-109.81,-17.58,170.81,18.00,14.1,2044.9,12313,6.821,32.902036,-2.622221
0.000,8,37,0,38,-92.47,-0.24,160.47,25.00,31.3,1326.9,6842,4.426,56.332579,4.752331
0.000,8,2,0,3,-96.02,-3.79,164.02,25.00,31.7,1315.3,6971,4.387,56.332579,4.752331
0.000,9,37,0,38,-103.57,-11.34,164.57,18.00,15.4,1972.4,11733,6.579,49.961199,19.638143
0.000,9,2,0,3,-105.78,-13.55,166.78,18.00,13.5,2082.3,13000,6.946,49.961199,19.638143
0.000,10,37,0,38,-92.41,-0.18,160.41,25.00,42.9,1081.5,4939,3.607,42.845380,-6.672527
0.000,10,1,0,2,-97.26,-5.03,162.26,22.00,21.8,1654.0,9327,5.517,42.845380,-6.672527
0.000,11,37,0,38,-94.07,-1.84,162.07,25.00,32.9,1284.3,6898,4.284,43.770263,-14.229480
0.000,11,1,0,2,-111.96,-19.73,172.96,18.00,12.5,2147.1,12467,7.162,43.770263,-14.229480
0.000,13,37,0,38,-106.39,-14.17,167.39,18.00,18.2,1818.1,10885,6.065,47.637161,16.836515
