time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
0.000,8,37,0,38,47.53,25.00,28.00,1,location
0.000,31,1,0,2,40.66,22.00,25.00,0,location
1.000,31,1,0,2,39.54,22.00,25.00,1,location
2.000,31,37,0,38,49.78,22.00,25.00,1,location
3.000,31,1,0,2,41.54,22.00,25.00,0,location
4.000,33,37,0,38,45.17,25.00,28.00,1,location
5.000,27,38,0,39,34.20,22.00,25.00,0,location
6.000,8,2,0,3,40.82,25.00,28.00,1,location
6.000,31,1,0,2,45.46,25.00,28.00,1,location
6.000,33,1,0,2,49.28,25.00,28.00,1,location
7.000,31,37,0,38,47.05,25.00,28.00,1,location
8.000,31,1,0,2,48.06,25.00,28.00,1,location
9.000,8,37,0,38,40.29,22.00,25.00,0,location
9.000,33,37,0,38,44.63,25.00,28.00,1,location
10.000,36,13,0,14,34.61,18.00,21.00,0,location
11.000,8,37,0,38,45.52,22.00,25.00,1,location
11.000,31,37,0,38,44.55,25.00,28.00,1,location
11.000,33,1,0,2,52.77,25.00,28.00,1,location
12.000,31,1,0,2,45.51,25.00,28.00,1,location
13.000,40,2,0,3,41.04,22.00,25.00,0,location
14.000,0,13,0,14,38.06,18.00,21.00,0,location
15.000,8,2,0,3,43.39,22.00,25.00,1,location
16.000,8,37,0,38,42.94,22.00,25.00,0,location
16.000,33,37,0,38,45.23,25.00,28.00,1,location
17.000,8,37,0,38,44.65,22.00,25.00,1,location
18.000,33,1,0,2,53.59,25.00,28.00,1,location
19.000,8,2,0,3,45.66,22.00,25.00,0,location
19.000,31,37,0,38,46.96,25.00,28.00,1,location
19.000,44,2,0,3,39.90,22.00,25.00,0,location
21.000,8,2,0,3,40.92,22.00,25.00,0,location
21.000,33,37,0,38,50.13,25.00,28.00,1,location
22.000,33,1,0,2,56.05,25.00,28.00,1,location
23.000,8,2,0,3,41.27,22.00,25.00,0,location
24.000,8,2,0,3,44.96,22.00,25.00,0,location
26.000,8,2,0,3,40.85,22.00,25.00,0,location
26.000,31,1,0,2,51.22,25.00,28.00,1,location
27.000,8,2,0,3,41.61,22.00,25.00,0,location
29.000,8,2,0,3,41.30,22.00,25.00,0,location
29.000,31,37,0,38,43.43,25.00,28.00,1,location
31.000,44,2,0,3,35.90,22.00,25.00,0,location
33.000,8,2,0,3,43.88,22.00,25.00,0,location
33.000,44,2,0,3,36.24,22.00,25.00,0,location
34.000,8,2,0,3,44.42,22.00,25.00,0,location
35.000,8,2,0,3,30.62,22.00,25.00,0,location
36.000,33,37,0,38,54.44,25.00,28.00,1,location
37.000,8,2,0,3,36.21,22.00,25.00,1,location
37.000,31,1,0,2,59.69,25.00,28.00,1,location
39.000,8,37,0,38,40.20,22.00,25.00,0,location
40.000,44,2,0,3,34.44,22.00,25.00,0,location
41.000,8,37,0,38,41.55,22.00,25.00,0,location
41.000,44,2,0,3,33.32,22.00,25.00,0,location
42.000,8,37,0,38,40.26,22.00,25.00,0,location
42.000,44,2,0,3,32.25,22.00,25.00,0,location
43.000,8,37,0,38,41.52,22.00,25.00,0,location
43.000,33,1,0,2,58.66,25.00,28.00,1,location
44.000,44,2,0,3,42.14,22.00,25.00,0,location
45.000,44,2,0,3,35.25,22.00,25.00,0,location
46.000,8,37,0,38,36.04,22.00,25.00,0,location
46.000,44,2,0,3,37.84,22.00,25.00,0,location
48.000,44,2,0,3,29.09,22.00,25.00,0,location
49.000,8,37,0,38,39.39,22.00,25.00,0,location
49.000,44,2,0,3,32.34,22.00,25.00,1,location
50.000,8,37,0,38,39.36,22.00,25.00,0,location
51.000,44,37,0,38,43.55,22.00,25.00,0,location
52.000,8,37,0,38,38.63,22.00,25.00,0,location
52.000,44,37,0,38,44.54,22.00,25.00,0,location
53.000,8,37,0,38,36.83,22.00,25.00,1,location
