time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
0.000,0,3,14,2,13,0,0,time,-7.71,-14.22,0.00,1000.00,1,0,64.887392,35.953442,0.0,static,23.3,19.7,
0.000,2,3,14,2,13,0,0,time,-6.29,-12.91,0.00,1000.00,1,0,62.421534,30.778682,3.5,pedestrian,27.1,13.7,
0.000,8,3,38,2,37,0,0,time,-3.79,-0.24,0.00,1000.00,1,0,56.332579,4.752331,0.0,static,31.7,31.3,
0.000,9,3,38,2,37,0,0,time,-13.55,-11.34,0.00,1000.00,1,0,49.961199,19.638143,0.0,static,13.5,15.4,
0.000,13,2,3,1,2,0,0,time,-18.09,-13.91,0.00,1000.00,1,0,47.637161,16.836515,77.4,hst,10.1,10.7,
0.000,15,2,39,1,38,0,0,time,-13.39,-12.88,0.00,1000.00,1,0,26.813966,-11.602172,20.6,vehicular,19.4,17.5,
0.000,18,38,3,37,2,0,0,time,-13.54,-12.30,0.00,1000.00,1,0,52.608176,18.864986,1.7,pedestrian,16.3,18.6,
0.000,19,3,49,2,48,0,0,time,-14.87,-14.05,0.00,1000.00,1,0,55.111534,32.880510,0.0,static,14.6,15.5,
0.000,31,38,2,37,1,0,0,time,-8.96,-10.31,0.00,1000.00,1,0,42.112501,5.702946,0.5,pedestrian,29.3,28.9,
0.000,33,2,38,1,37,0,0,time,-6.08,-6.85,0.00,1000.00,1,0,39.432590,-3.521291,0.0,static,34.5,29.9,
0.000,34,2,39,1,38,0,0,time,-9.57,-13.68,0.00,1000.00,0,0,31.086183,-10.302686,79.9,hst,25.9,12.6,LowSINR
0.000,36,3,48,2,47,0,0,time,-6.28,-12.11,0.00,1000.00,0,0,64.270553,33.581441,33.0,vehicular,25.6,12.9,LowSINR
0.000,42,3,38,2,37,0,0,time,-5.27,-10.59,0.00,1000.00,0,0,58.585810,17.397563,2.1,pedestrian,35.6,14.6,LowSINR
1.000,11,38,2,37,1,0,0,time,-7.92,-15.31,0.00,1001.00,0,0,43.770984,-14.229296,81.7,hst,33.0,12.6,LowSINR
1.000,34,2,39,1,38,0,0,time,-6.01,-14.29,0.00,1001.00,1,0,31.086879,-10.302483,79.9,hst,25.9,12.5,
