time_s,total_hos,successful_hos,failed_hos,ping_pongs,ho_success_rate,avg_sinr_dB,ho_rate_per_ue_per_min
0.000,13,10,3,0,76.9,-8.95,0.0000
5.000,22,13,9,0,59.1,-9.87,5.2800
10.000,27,15,12,0,55.6,-11.58,3.2400
15.000,31,17,14,0,54.8,-11.49,2.4800
20.000,35,18,17,0,51.4,-12.12,2.1000
25.000,40,20,20,0,50.0,-12.53,1.9200
30.000,46,25,21,0,54.3,-14.20,1.8400
35.000,50,27,23,0,54.0,-16.11,1.7143
40.000,53,28,25,0,52.8,-16.39,1.5900
45.000,55,29,26,0,52.7,-17.85,1.4667
50.000,75,40,35,0,53.3,-13.62,1.8000
55.000,80,44,36,0,55.0,-14.74,1.7455
60.000,85,45,40,0,52.9,-14.93,1.7000
65.000,92,50,42,0,54.3,-14.63,1.6985
70.000,95,53,42,0,55.8,-14.28,1.6286
75.000,103,60,43,0,58.3,-12.99,1.6480
80.000,105,61,44,0,58.1,-14.59,1.5750
85.000,108,64,44,0,59.3,-14.06,1.5247
90.000,117,68,49,0,58.1,-13.19,1.5600
95.000,128,77,51,0,60.2,-13.19,1.6168
100.000,132,78,54,0,59.1,-14.90,1.5840
105.000,135,81,54,0,60.0,-14.33,1.5429
110.000,144,86,58,0,59.7,-15.18,1.5709
115.000,148,90,58,0,60.8,-16.23,1.5443
120.000,155,95,60,0,61.3,-17.29,1.5500
125.000,157,97,60,0,61.8,-17.06,1.5072
130.000,163,102,61,0,62.6,-18.79,1.5046
135.000,165,103,62,0,62.4,-16.78,1.4667
140.000,177,110,67,0,62.1,-18.17,1.5171
145.000,187,113,74,0,60.4,-18.68,1.5476
150.000,194,118,76,0,60.8,-18.97,1.5520
155.000,202,121,81,0,59.9,-20.13,1.5639
160.000,207,124,83,0,59.9,-17.15,1.5525
165.000,221,128,93,0,57.9,-17.07,1.6073
170.000,234,131,103,0,56.0,-16.70,1.6518
175.000,241,135,106,0,56.0,-17.14,1.6526
180.000,245,137,108,0,55.9,-18.77,1.6333
185.000,258,144,114,0,55.8,-16.80,1.6735
190.000,265,148,117,0,55.8,-19.27,1.6737
195.000,270,152,118,0,56.3,-19.71,1.6615
200.000,273,153,120,0,56.0,-19.64,1.6380
205.000,278,157,121,0,56.5,-17.50,1.6273
210.000,280,158,122,0,56.4,-18.71,1.6000
215.000,286,162,124,0,56.6,-16.70,1.5963
220.000,297,166,131,0,55.9,-18.39,1.6200
225.000,301,169,132,0,56.1,-14.58,1.6053
230.000,303,171,132,0,56.4,-14.41,1.5809
235.000,309,176,133,0,57.0,-13.87,1.5779
240.000,315,178,137,0,56.5,-17.73,1.5750
245.000,322,183,139,0,56.8,-15.52,1.5771
250.000,327,185,142,0,56.6,-15.82,1.5696
255.000,328,186,142,0,56.7,-17.36,1.5435
260.000,334,190,144,0,56.9,-19.96,1.5415
265.000,337,193,144,0,57.3,-17.71,1.5260
270.000,343,197,146,0,57.4,-19.70,1.5244
275.000,343,197,146,0,57.4,-19.98,1.4967
280.000,354,203,151,0,57.3,-17.31,1.5171
285.000,354,203,151,0,57.3,-17.14,1.4905
