time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
0.000,8,37,0,38,47.53,25.00,28.00,1,time
0.000,33,37,0,38,41.62,22.00,25.00,0,time
1.000,0,2,0,3,41.30,22.00,25.00,0,time
1.000,2,2,0,3,42.33,22.00,25.00,0,time
1.000,8,2,0,3,41.32,25.00,28.00,1,time
2.000,0,2,0,3,36.73,22.00,25.00,0,time
2.000,2,2,0,3,39.84,22.00,25.00,1,time
2.000,31,37,0,38,44.69,22.00,25.00,0,time
2.000,41,1,0,2,42.27,22.00,25.00,0,time
3.000,0,2,0,3,39.52,22.00,25.00,0,time
3.000,2,2,0,3,47.22,22.00,25.00,1,time
3.000,33,1,0,2,48.12,25.00,28.00,1,time
3.000,41,1,0,2,39.90,22.00,25.00,1,time
4.000,2,2,0,3,40.90,22.00,25.00,0,time
4.000,33,1,0,2,57.28,25.00,28.00,1,time
4.000,34,1,0,2,44.50,22.00,25.00,0,time
4.000,36,2,0,3,42.30,22.00,25.00,0,time
5.000,0,2,0,3,35.85,22.00,25.00,1,time
5.000,2,2,0,3,35.74,22.00,25.00,0,time
5.000,8,2,0,3,44.96,25.00,28.00,1,time
5.000,31,37,0,38,45.34,25.00,28.00,1,time
5.000,34,1,0,2,40.31,22.00,25.00,0,time
5.000,36,2,0,3,39.04,22.00,25.00,0,time
5.000,41,1,0,2,37.56,22.00,25.00,0,time
6.000,0,2,0,3,41.63,22.00,25.00,0,time
6.000,2,2,0,3,43.16,22.00,25.00,0,time
6.000,41,1,0,2,35.31,22.00,25.00,0,time
7.000,0,2,0,3,36.81,22.00,25.00,0,time
7.000,2,2,0,3,35.93,22.00,25.00,0,time
7.000,10,1,0,2,36.59,22.00,25.00,0,time
7.000,11,37,0,38,50.92,25.00,28.00,1,time
7.000,36,2,0,3,39.04,22.00,25.00,1,time
7.000,41,1,0,2,40.38,22.00,25.00,0,time
8.000,8,2,0,3,43.63,25.00,28.00,1,time
8.000,10,37,0,38,61.10,25.00,28.00,1,time
8.000,11,37,0,38,48.80,25.00,28.00,1,time
8.000,34,1,0,2,36.95,22.00,25.00,1,time
8.000,36,2,0,3,38.78,22.00,25.00,1,time
8.000,41,1,0,2,36.23,22.00,25.00,0,time
9.000,2,2,0,3,42.02,22.00,25.00,1,time
9.000,8,2,0,3,42.94,22.00,25.00,0,time
9.000,10,37,0,38,63.31,25.00,28.00,1,time
9.000,11,37,0,38,51.22,25.00,28.00,1,time
9.000,34,1,0,2,38.52,22.00,25.00,1,time
9.000,36,2,0,3,39.48,22.00,25.00,0,time
10.000,2,2,0,3,44.94,22.00,25.00,0,time
10.000,8,2,0,3,44.26,22.00,25.00,1,time
10.000,11,37,0,38,49.46,25.00,28.00,1,time
10.000,34,1,0,2,39.73,22.00,25.00,0,time
10.000,36,2,0,3,41.89,22.00,25.00,0,time
10.000,41,1,0,2,39.67,22.00,25.00,1,time
11.000,0,2,0,3,42.73,22.00,25.00,0,time
11.000,2,2,0,3,44.76,22.00,25.00,0,time
11.000,8,2,0,3,36.05,22.00,25.00,0,time
11.000,10,37,0,38,62.16,25.00,28.00,1,time
11.000,11,37,0,38,45.18,25.00,28.00,1,time
11.000,31,37,0,38,48.63,25.00,28.00,1,time
12.000,2,2,0,3,46.60,22.00,25.00,0,time
12.000,10,37,0,38,63.79,25.00,28.00,1,time
12.000,11,37,0,38,49.55,25.00,28.00,1,time
12.000,34,1,0,2,38.06,22.00,25.00,0,time
13.000,0,2,0,3,36.02,22.00,25.00,0,time
13.000,8,2,0,3,44.49,22.00,25.00,0,time
13.000,10,37,0,38,55.93,25.00,28.00,1,time
13.000,11,37,0,38,54.08,25.00,28.00,1,time
13.000,33,1,0,2,51.70,25.00,28.00,1,time
13.000,34,1,0,2,44.15,22.00,25.00,0,time
13.000,41,1,0,2,40.96,22.00,25.00,0,time
14.000,2,2,0,3,40.13,22.00,25.00,1,time
14.000,8,2,0,3,46.32,22.00,25.00,0,time
14.000,10,37,0,38,62.34,25.00,28.00,1,time
14.000,11,37,0,38,49.67,25.00,28.00,1,time
14.000,31,37,0,38,38.36,25.00,28.00,1,time
14.000,34,1,0,2,38.29,22.00,25.00,0,time
14.000,36,2,0,3,43.85,22.00,25.00,0,time
14.000,41,1,0,2,33.08,22.00,25.00,0,time
14.000,44,2,0,3,39.46,22.00,25.00,0,time
