time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
0.000,8,3,38,2,37,0,0,tte-aware,-3.79,-0.24,47.53,1000.00,1,0,56.332579,4.752331,0.0,static,31.7,31.3,
1.000,31,38,2,37,1,0,0,tte-aware,-6.22,-4.04,39.54,1001.00,1,0,42.112497,5.702948,0.5,pedestrian,29.5,29.1,
5.000,44,38,3,37,2,0,0,tte-aware,-6.35,-4.80,47.23,1005.00,1,0,55.257673,3.858768,82.0,hst,34.7,27.1,
20.000,44,3,38,2,37,0,0,tte-aware,-5.48,-0.46,45.23,15.00,1,0,55.268315,3.863996,82.0,hst,24.6,31.9,
21.000,8,38,3,37,2,0,0,tte-aware,-7.48,-4.46,42.41,21.00,1,0,56.332579,4.752331,0.0,static,27.9,27.6,
22.000,31,2,38,1,37,0,0,tte-aware,-4.10,0.31,51.78,21.00,1,0,42.112404,5.702979,0.5,pedestrian,33.3,32.3,
27.000,33,2,38,1,37,0,0,tte-aware,-5.51,0.03,53.34,1027.00,1,0,39.432590,-3.521291,0.0,static,39.9,35.8,
39.000,31,38,2,37,1,0,0,tte-aware,-5.01,-2.19,54.80,17.00,1,0,42.112329,5.703004,0.5,pedestrian,34.5,37.2,
45.000,8,3,38,2,37,0,0,tte-aware,-9.43,-4.39,38.72,24.00,1,0,56.332579,4.752331,0.0,static,23.6,24.3,
45.000,9,3,38,2,37,0,0,tte-aware,-100.00,-15.13,0.00,1045.00,1,0,49.961199,19.638143,0.0,static,0.0,14.1,
48.000,44,38,3,37,2,0,0,tte-aware,-8.47,-4.93,31.54,28.00,1,0,55.288182,3.873761,82.0,hst,27.1,20.5,
53.000,33,38,2,37,1,0,0,tte-aware,-4.55,1.85,58.50,26.00,1,0,39.432590,-3.521291,0.0,static,42.8,45.2,
65.000,44,3,38,2,37,0,0,tte-aware,-10.98,-4.47,37.04,17.00,1,0,55.300243,3.879691,82.0,hst,18.3,24.5,
66.000,0,3,48,2,47,0,0,tte-aware,-6.05,-4.75,42.04,1066.00,1,0,64.887392,35.953442,0.0,static,25.0,21.1,
66.000,31,2,38,1,37,0,0,tte-aware,-4.57,-1.55,54.08,27.00,1,0,42.112211,5.703044,0.5,pedestrian,44.3,37.5,
73.000,16,38,2,37,1,0,0,tte-aware,-6.57,-4.17,44.48,1073.00,1,0,46.613744,6.872435,27.6,vehicular,36.5,27.9,
74.000,33,2,38,1,37,0,0,tte-aware,-0.53,4.49,72.17,21.00,1,0,39.432590,-3.521291,0.0,static,49.0,49.6,
75.000,36,3,48,2,47,0,0,tte-aware,-7.91,-4.71,39.07,1075.00,1,0,64.292113,33.594093,33.0,vehicular,26.1,20.4,
79.000,7,2,38,1,37,0,0,tte-aware,-5.36,-4.04,38.02,1079.00,1,0,32.902036,-2.622221,0.0,static,44.3,24.3,
81.000,31,38,2,37,1,0,0,tte-aware,-4.27,-0.78,65.31,15.00,1,0,42.112145,5.703066,0.5,pedestrian,38.7,48.8,
86.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-15.68,0.00,1086.00,0,0,43.826342,25.874869,1.1,pedestrian,0.0,10.0,LowSINR
87.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-15.09,0.00,1087.00,0,0,43.826350,25.874861,1.1,pedestrian,0.0,10.0,LowSINR
88.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-14.29,0.00,1088.00,0,0,43.826358,25.874853,1.1,pedestrian,0.0,10.1,LowSINR
89.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-15.47,0.00,1089.00,0,0,43.826367,25.874845,1.1,pedestrian,0.0,10.1,LowSINR
89.000,33,38,2,37,1,0,0,tte-aware,2.22,8.45,69.17,15.00,1,0,39.432590,-3.521291,0.0,static,55.2,51.1,
90.000,0,48,3,47,2,0,0,tte-aware,-9.97,-3.96,43.95,24.00,1,0,64.887392,35.953442,0.0,static,24.2,24.7,
90.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-18.64,0.00,1090.00,0,0,43.826375,25.874838,1.1,pedestrian,0.0,10.2,LowSINR
91.000,23,0,2,4294967295,1,0,0,tte-aware,-100.00,-17.48,0.00,1091.00,1,0,43.826383,25.874830,1.1,pedestrian,0.0,10.2,
91.000,36,48,3,47,2,0,0,tte-aware,-8.04,-4.40,43.63,16.00,1,0,64.296713,33.596793,33.0,vehicular,22.2,25.6,
