time_s,total_hos,successful_hos,failed_hos,ping_pongs,ho_success_rate,avg_sinr_dB,ho_rate_per_ue_per_min
0.000,1,1,0,0,100.0,-8.38,0.0000
5.000,3,3,0,0,100.0,-8.41,0.7200
10.000,3,3,0,0,100.0,-8.88,0.3600
15.000,3,3,0,0,100.0,-8.81,0.2400
20.000,4,4,0,0,100.0,-8.46,0.2400
25.000,6,6,0,0,100.0,-8.88,0.2880
30.000,7,7,0,0,100.0,-8.93,0.2800
35.000,7,7,0,0,100.0,-9.55,0.2400
40.000,8,8,0,0,100.0,-9.66,0.2400
45.000,10,10,0,0,100.0,-9.51,0.2667
50.000,11,11,0,0,100.0,-10.04,0.2640
55.000,12,12,0,0,100.0,-10.43,0.2618
60.000,12,12,0,0,100.0,-10.37,0.2400
65.000,13,13,0,0,100.0,-10.27,0.2400
70.000,15,15,0,0,100.0,-10.57,0.2571
75.000,18,18,0,0,100.0,-10.68,0.2880
80.000,19,19,0,0,100.0,-10.56,0.2850
85.000,20,20,0,0,100.0,-10.57,0.2824
90.000,27,22,5,0,81.5,-10.98,0.3600
95.000,31,26,5,0,83.9,-9.64,0.3916
100.000,32,27,5,0,84.4,-11.15,0.3840
105.000,34,29,5,0,85.3,-13.49,0.3886
110.000,35,30,5,0,85.7,-13.96,0.3818
115.000,39,33,6,0,84.6,-13.63,0.4070
120.000,40,34,6,0,85.0,-14.07,0.4000
125.000,45,36,9,0,80.0,-14.31,0.4320
130.000,48,39,9,0,81.2,-14.28,0.4431
135.000,51,42,9,0,82.4,-14.58,0.4533
140.000,53,44,9,0,83.0,-15.04,0.4543
145.000,54,45,9,0,83.3,-14.63,0.4469
150.000,64,55,9,0,85.9,-12.77,0.5120
155.000,65,56,9,0,86.2,-14.40,0.5032
160.000,65,56,9,0,86.2,-14.83,0.4875
165.000,68,59,9,0,86.8,-14.33,0.4945
170.000,70,61,9,0,87.1,-14.62,0.4941
175.000,74,65,9,0,87.8,-13.82,0.5074
180.000,78,69,9,0,88.5,-13.73,0.5200
185.000,79,70,9,0,88.6,-13.62,0.5124
190.000,82,73,9,0,89.0,-13.60,0.5179
195.000,82,73,9,0,89.0,-13.63,0.5046
200.000,85,76,9,0,89.4,-13.44,0.5100
205.000,86,77,9,0,89.5,-13.20,0.5034
210.000,93,81,12,0,87.1,-12.48,0.5314
215.000,95,83,12,0,87.4,-12.89,0.5302
220.000,98,86,12,0,87.8,-12.16,0.5345
225.000,100,88,12,0,88.0,-11.92,0.5333
230.000,100,88,12,0,88.0,-12.16,0.5217
235.000,100,88,12,0,88.0,-12.24,0.5106
240.000,101,89,12,0,88.1,-13.36,0.5050
245.000,105,92,13,0,87.6,-12.55,0.5143
250.000,107,94,13,0,87.9,-12.63,0.5136
255.000,109,96,13,0,88.1,-13.61,0.5129
260.000,112,99,13,0,88.4,-13.99,0.5169
265.000,114,101,13,0,88.6,-14.46,0.5162
270.000,114,101,13,0,88.6,-14.41,0.5067
275.000,114,101,13,0,88.6,-14.22,0.4975
280.000,116,103,13,0,88.8,-13.87,0.4971
285.000,116,103,13,0,88.8,-14.60,0.4884
290.000,118,105,13,0,89.0,-13.89,0.4883
295.000,120,107,13,0,89.2,-14.08,0.4881
300.000,121,108,13,0,89.3,-13.96,0.4840
305.000,123,110,13,0,89.4,-13.29,0.4839
310.000,124,110,14,0,88.7,-14.15,0.4800
315.000,126,112,14,0,88.9,-14.56,0.4800
320.000,126,112,14,0,88.9,-14.45,0.4725
325.000,128,114,14,0,89.1,-14.50,0.4726
330.000,131,117,14,0,89.3,-14.35,0.4764
335.000,131,117,14,0,89.3,-14.32,0.4693
340.000,132,118,14,0,89.4,-14.63,0.4659
345.000,134,120,14,0,89.6,-14.60,0.4661
350.000,136,122,14,0,89.7,-14.65,0.4663
355.000,138,123,15,0,89.1,-14.65,0.4665
360.000,143,128,15,0,89.5,-14.03,0.4767
365.000,147,132,15,0,89.8,-12.71,0.4833
370.000,148,132,16,0,89.2,-14.13,0.4800
375.000,152,134,18,0,88.2,-12.67,0.4864
380.000,154,136,18,0,88.3,-13.02,0.4863
385.000,155,137,18,0,88.4,-13.09,0.4831
390.000,157,139,18,0,88.5,-13.48,0.4831
395.000,158,140,18,0,88.6,-15.29,0.4800
400.000,162,144,18,0,88.9,-13.64,0.4860
405.000,164,146,18,0,89.0,-13.77,0.4859
410.000,167,149,18,0,89.2,-13.90,0.4888
415.000,170,152,18,0,89.4,-13.63,0.4916
420.000,173,155,18,0,89.6,-13.27,0.4943
425.000,175,157,18,0,89.7,-13.39,0.4941
430.000,178,160,18,0,89.9,-13.49,0.4967
435.000,182,164,18,0,90.1,-12.68,0.5021
440.000,183,165,18,0,90.2,-13.55,0.4991
445.000,187,169,18,0,90.4,-13.37,0.5043
450.000,189,171,18,0,90.5,-12.79,0.5040
455.000,191,173,18,0,90.6,-12.51,0.5037
460.000,195,177,18,0,90.8,-12.98,0.5087
465.000,196,178,18,0,90.8,-12.55,0.5058
470.000,197,179,18,0,90.9,-12.00,0.5030
475.000,200,182,18,0,91.0,-12.33,0.5053
480.000,200,182,18,0,91.0,-11.56,0.5000
485.000,201,183,18,0,91.0,-12.44,0.4973
490.000,203,185,18,0,91.1,-11.32,0.4971
495.000,204,185,19,0,90.7,-11.68,0.4945
500.000,210,189,21,0,90.0,-10.06,0.5040
505.000,213,189,24,0,88.7,-12.05,0.5061
510.000,217,191,26,0,88.0,-10.04,0.5106
515.000,221,195,26,0,88.2,-9.66,0.5150
520.000,221,195,26,0,88.2,-9.97,0.5100
525.000,222,196,26,0,88.3,-10.01,0.5074
530.000,223,197,26,0,88.3,-10.10,0.5049
535.000,224,198,26,0,88.4,-9.63,0.5024
540.000,225,199,26,0,88.4,-10.18,0.5000
545.000,228,202,26,0,88.6,-9.94,0.5020
550.000,229,203,26,0,88.6,-10.54,0.4996
555.000,229,203,26,0,88.6,-10.76,0.4951
560.000,235,207,28,0,88.1,-10.50,0.5036
565.000,237,209,28,0,88.2,-9.97,0.5034
570.000,237,209,28,0,88.2,-12.34,0.4989
575.000,239,210,29,0,87.9,-12.19,0.4988
580.000,241,212,29,0,88.0,-11.19,0.4986
585.000,245,216,29,0,88.2,-10.84,0.5026
590.000,245,216,29,0,88.2,-11.70,0.4983
595.000,245,216,29,0,88.2,-11.40,0.4941
