time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
0.000,8,37,0,38,47.53,25.00,28.00,1,tte-aware
0.000,31,1,0,2,40.66,22.00,25.00,0,tte-aware
1.000,31,1,0,2,39.54,22.00,25.00,1,tte-aware
5.000,44,2,0,3,47.23,22.00,25.00,1,tte-aware
5.000,47,38,0,39,39.83,22.00,25.00,0,tte-aware
11.000,33,37,0,38,42.83,25.00,28.00,0,tte-aware
15.000,8,2,0,3,45.89,22.00,25.00,0,tte-aware
15.000,33,37,0,38,48.50,25.00,28.00,0,tte-aware
15.000,40,2,0,3,32.44,22.00,25.00,0,tte-aware
16.000,8,2,0,3,40.26,22.00,25.00,0,tte-aware
17.000,8,2,0,3,37.87,22.00,25.00,0,tte-aware
19.000,8,2,0,3,41.39,22.00,25.00,0,tte-aware
20.000,44,37,0,38,45.23,25.00,28.00,1,tte-aware
21.000,8,2,0,3,42.41,22.00,25.00,1,tte-aware
22.000,31,37,0,38,51.78,25.00,28.00,1,tte-aware
27.000,33,37,0,38,53.34,25.00,28.00,1,tte-aware
35.000,44,2,0,3,33.83,22.00,25.00,0,tte-aware
39.000,31,1,0,2,54.80,25.00,28.00,1,tte-aware
41.000,8,37,0,38,41.05,22.00,25.00,0,tte-aware
44.000,8,37,0,38,39.58,22.00,25.00,0,tte-aware
45.000,8,37,0,38,38.72,22.00,25.00,1,tte-aware
46.000,44,2,0,3,31.26,22.00,25.00,0,tte-aware
48.000,44,2,0,3,31.54,22.00,25.00,1,tte-aware
53.000,33,1,0,2,58.50,25.00,28.00,1,tte-aware
61.000,8,2,0,3,33.54,22.00,25.00,0,tte-aware
62.000,0,47,0,48,38.93,22.00,25.00,0,tte-aware
63.000,0,47,0,48,31.19,22.00,25.00,0,tte-aware
65.000,44,37,0,38,37.04,22.00,25.00,1,tte-aware
66.000,0,47,0,48,42.04,22.00,25.00,1,tte-aware
66.000,8,2,0,3,41.65,22.00,25.00,0,tte-aware
66.000,31,37,0,38,54.08,25.00,28.00,1,tte-aware
70.000,36,47,0,48,30.17,18.00,21.00,0,tte-aware
72.000,36,47,0,48,33.34,22.00,25.00,0,tte-aware
73.000,16,1,0,2,44.48,22.00,25.00,1,tte-aware
74.000,33,37,0,38,72.17,25.00,28.00,1,tte-aware
75.000,36,47,0,48,39.07,22.00,25.00,1,tte-aware
79.000,7,37,0,38,38.02,22.00,25.00,1,tte-aware
81.000,31,1,0,2,65.31,25.00,28.00,1,tte-aware
83.000,0,2,0,3,38.32,22.00,25.00,0,tte-aware
84.000,0,2,0,3,41.09,22.00,25.00,0,tte-aware
86.000,0,2,0,3,38.39,22.00,25.00,0,tte-aware
89.000,0,2,0,3,39.58,22.00,25.00,0,tte-aware
89.000,33,1,0,2,69.17,28.00,31.00,1,tte-aware
90.000,0,2,0,3,43.95,22.00,25.00,1,tte-aware
90.000,28,36,0,37,40.97,22.00,25.00,0,tte-aware
91.000,1,36,0,37,35.97,22.00,25.00,0,tte-aware
91.000,36,2,0,3,43.63,22.00,25.00,1,tte-aware
93.000,16,37,0,38,53.95,25.00,28.00,1,tte-aware
94.000,7,1,0,2,61.36,25.00,28.00,1,tte-aware
97.000,34,37,0,38,38.18,22.00,25.00,1,tte-aware
99.000,1,36,0,37,41.07,22.00,25.00,0,tte-aware
102.000,17,1,0,2,30.35,22.00,25.00,0,tte-aware
105.000,0,47,0,48,43.36,22.00,25.00,1,tte-aware
105.000,33,37,0,38,76.43,28.00,31.00,1,tte-aware
106.000,4,47,0,48,32.14,18.00,21.00,0,tte-aware
106.000,17,1,0,2,42.41,22.00,25.00,0,tte-aware
108.000,36,47,0,48,34.64,22.00,25.00,0,tte-aware
109.000,16,1,0,2,47.86,25.00,28.00,1,tte-aware
109.000,36,47,0,48,46.60,22.00,25.00,0,tte-aware
110.000,28,36,0,37,38.81,22.00,25.00,0,tte-aware
110.000,36,47,0,48,42.06,22.00,25.00,0,tte-aware
111.000,36,47,0,48,37.76,22.00,25.00,1,tte-aware
112.000,17,1,0,2,45.56,22.00,25.00,0,tte-aware
114.000,1,36,0,37,50.03,22.00,25.00,1,tte-aware
114.000,17,1,0,2,42.76,22.00,25.00,0,tte-aware
114.000,27,37,0,38,38.54,22.00,25.00,0,tte-aware
115.000,17,1,0,2,36.65,22.00,25.00,0,tte-aware
115.000,28,36,0,37,40.00,22.00,25.00,0,tte-aware
116.000,27,37,0,38,38.16,22.00,25.00,0,tte-aware
116.000,28,36,0,37,43.85,22.00,25.00,0,tte-aware
116.000,38,37,0,38,31.26,18.00,21.00,0,tte-aware
117.000,17,1,0,2,38.08,22.00,25.00,1,tte-aware
117.000,28,36,0,37,45.65,22.00,25.00,0,tte-aware
118.000,21,36,0,37,32.91,22.00,25.00,0,tte-aware
118.000,27,37,0,38,39.00,22.00,25.00,0,tte-aware
119.000,2,47,0,48,35.51,22.00,25.00,0,tte-aware
120.000,0,2,0,3,41.00,22.00,25.00,0,tte-aware
120.000,28,36,0,37,40.62,22.00,25.00,0,tte-aware
121.000,0,2,0,3,31.58,22.00,25.00,0,tte-aware
121.000,2,47,0,48,31.06,22.00,25.00,0,tte-aware
121.000,4,47,0,48,30.03,18.00,21.00,0,tte-aware
122.000,27,37,0,38,40.61,22.00,25.00,0,tte-aware
123.000,0,2,0,3,40.68,22.00,25.00,0,tte-aware
123.000,7,37,0,38,49.21,25.00,28.00,1,tte-aware
123.000,21,36,0,37,34.74,22.00,25.00,0,tte-aware
125.000,27,37,0,38,38.79,22.00,25.00,0,tte-aware
126.000,0,2,0,3,40.31,22.00,25.00,0,tte-aware
126.000,36,2,0,3,35.87,22.00,25.00,0,tte-aware
127.000,0,2,0,3,41.74,22.00,25.00,0,tte-aware
127.000,27,37,0,38,39.70,22.00,25.00,0,tte-aware
128.000,2,47,0,48,36.29,22.00,25.00,0,tte-aware
128.000,21,36,0,37,36.96,22.00,25.00,0,tte-aware
128.000,27,37,0,38,41.44,22.00,25.00,0,tte-aware
128.000,28,36,0,37,43.04,22.00,25.00,1,tte-aware
128.000,36,2,0,3,34.80,22.00,25.00,0,tte-aware
129.000,2,47,0,48,34.65,22.00,25.00,0,tte-aware
129.000,16,37,0,38,43.34,25.00,28.00,1,tte-aware
129.000,21,36,0,37,36.96,22.00,25.00,1,tte-aware
129.000,27,37,0,38,35.77,22.00,25.00,0,tte-aware
130.000,27,37,0,38,37.84,22.00,25.00,0,tte-aware
131.000,27,37,0,38,34.86,22.00,25.00,0,tte-aware
132.000,36,2,0,3,40.33,22.00,25.00,0,tte-aware
133.000,2,47,0,48,39.52,22.00,25.00,0,tte-aware
133.000,4,47,0,48,35.68,22.00,25.00,0,tte-aware
133.000,17,37,0,38,41.24,22.00,25.00,1,tte-aware
133.000,36,2,0,3,35.97,22.00,25.00,0,tte-aware
134.000,1,2,0,3,41.89,22.00,25.00,1,tte-aware
134.000,2,47,0,48,28.95,22.00,25.00,0,tte-aware
135.000,2,47,0,48,30.33,22.00,25.00,0,tte-aware
135.000,4,47,0,48,38.82,22.00,25.00,0,tte-aware
135.000,31,37,0,38,58.46,25.00,28.00,1,tte-aware
136.000,2,47,0,48,38.14,22.00,25.00,0,tte-aware
136.000,27,37,0,38,36.57,22.00,25.00,0,tte-aware
136.000,36,2,0,3,39.07,22.00,25.00,0,tte-aware
137.000,36,2,0,3,37.74,22.00,25.00,0,tte-aware
138.000,0,2,0,3,36.37,22.00,25.00,0,tte-aware
138.000,2,47,0,48,39.16,22.00,25.00,0,tte-aware
138.000,27,37,0,38,41.73,22.00,25.00,0,tte-aware
138.000,36,2,0,3,36.30,22.00,25.00,0,tte-aware
138.000,41,37,0,38,35.15,22.00,25.00,0,tte-aware
139.000,2,47,0,48,41.90,22.00,25.00,0,tte-aware
139.000,27,37,0,38,37.30,22.00,25.00,1,tte-aware
139.000,41,37,0,38,36.16,22.00,25.00,0,tte-aware
140.000,2,47,0,48,37.90,22.00,25.00,0,tte-aware
141.000,2,47,0,48,38.17,22.00,25.00,0,tte-aware
143.000,2,47,0,48,36.59,22.00,25.00,0,tte-aware
144.000,4,47,0,48,35.44,22.00,25.00,0,tte-aware
144.000,16,1,0,2,55.99,25.00,28.00,1,tte-aware
144.000,28,2,0,3,36.19,22.00,25.00,0,tte-aware
144.000,41,37,0,38,32.17,22.00,25.00,0,tte-aware
145.000,4,47,0,48,31.00,22.00,25.00,0,tte-aware
145.000,21,2,0,3,37.84,22.00,25.00,0,tte-aware
145.000,41,37,0,38,39.15,22.00,25.00,0,tte-aware
146.000,28,2,0,3,43.24,22.00,25.00,1,tte-aware
147.000,4,47,0,48,38.31,22.00,25.00,0,tte-aware
147.000,21,2,0,3,39.85,22.00,25.00,0,tte-aware
148.000,2,47,0,48,37.27,22.00,25.00,1,tte-aware
148.000,17,1,0,2,44.83,22.00,25.00,0,tte-aware
148.000,41,37,0,38,39.15,22.00,25.00,0,tte-aware
149.000,1,36,0,37,53.70,25.00,28.00,1,tte-aware
149.000,4,47,0,48,37.72,22.00,25.00,0,tte-aware
149.000,17,1,0,2,48.75,22.00,25.00,1,tte-aware
149.000,21,2,0,3,37.82,22.00,25.00,1,tte-aware
150.000,4,47,0,48,32.65,22.00,25.00,1,tte-aware
150.000,26,1,0,2,39.09,22.00,25.00,0,tte-aware
150.000,31,1,0,2,81.76,28.00,31.00,1,tte-aware
150.000,36,2,0,3,39.92,22.00,25.00,1,tte-aware
151.000,39,36,0,37,34.57,22.00,25.00,0,tte-aware
153.000,0,2,0,3,35.76,22.00,25.00,0,tte-aware
154.000,3,37,0,38,36.70,18.00,21.00,0,tte-aware
154.000,7,1,0,2,49.19,22.00,25.00,1,tte-aware
154.000,39,36,0,37,29.53,22.00,25.00,0,tte-aware
154.000,40,1,0,2,32.72,18.00,21.00,0,tte-aware
154.000,41,37,0,38,40.14,22.00,25.00,0,tte-aware
155.000,39,36,0,37,33.04,22.00,25.00,0,tte-aware
158.000,35,1,0,2,33.21,22.00,25.00,0,tte-aware
158.000,41,37,0,38,37.67,22.00,25.00,0,tte-aware
159.000,39,36,0,37,34.37,22.00,25.00,0,tte-aware
160.000,0,2,0,3,35.16,22.00,25.00,0,tte-aware
160.000,35,1,0,2,43.65,22.00,25.00,0,tte-aware
160.000,39,36,0,37,31.51,22.00,25.00,0,tte-aware
161.000,28,36,0,37,49.38,25.00,28.00,1,tte-aware
161.000,35,1,0,2,37.80,22.00,25.00,0,tte-aware
161.000,41,37,0,38,35.34,22.00,25.00,1,tte-aware
162.000,35,1,0,2,34.55,22.00,25.00,0,tte-aware
163.000,39,36,0,37,30.93,22.00,25.00,0,tte-aware
164.000,0,2,0,3,37.68,22.00,25.00,0,tte-aware
164.000,39,36,0,37,36.74,22.00,25.00,0,tte-aware
165.000,21,36,0,37,38.34,22.00,25.00,0,tte-aware
165.000,36,47,0,48,44.18,25.00,28.00,1,tte-aware
166.000,39,36,0,37,37.50,22.00,25.00,0,tte-aware
166.000,44,1,0,2,36.98,22.00,25.00,1,tte-aware
167.000,1,2,0,3,37.54,22.00,25.00,0,tte-aware
167.000,17,37,0,38,27.46,22.00,25.00,0,tte-aware
167.000,21,36,0,37,36.72,22.00,25.00,0,tte-aware
167.000,35,1,0,2,35.20,22.00,25.00,0,tte-aware
168.000,35,1,0,2,36.99,22.00,25.00,0,tte-aware
168.000,39,36,0,37,30.12,22.00,25.00,0,tte-aware
169.000,7,37,0,38,58.15,25.00,28.00,1,tte-aware
169.000,21,36,0,37,47.34,22.00,25.00,0,tte-aware
169.000,32,1,0,2,37.81,22.00,25.00,0,tte-aware
169.000,35,1,0,2,37.72,22.00,25.00,0,tte-aware
171.000,39,36,0,37,39.08,22.00,25.00,0,tte-aware
172.000,11,1,0,2,32.66,22.00,25.00,0,tte-aware
172.000,39,36,0,37,35.77,22.00,25.00,0,tte-aware
173.000,21,36,0,37,42.00,22.00,25.00,1,tte-aware
173.000,25,1,0,2,57.29,25.00,28.00,1,tte-aware
173.000,32,1,0,2,34.82,22.00,25.00,0,tte-aware
174.000,26,1,0,2,47.21,25.00,28.00,1,tte-aware
175.000,11,1,0,2,36.52,22.00,25.00,0,tte-aware
175.000,32,1,0,2,37.15,22.00,25.00,1,tte-aware
175.000,35,1,0,2,43.33,22.00,25.00,0,tte-aware
175.000,39,36,0,37,36.29,22.00,25.00,0,tte-aware
176.000,4,2,0,3,32.79,18.00,21.00,0,tte-aware
176.000,11,1,0,2,36.36,22.00,25.00,0,tte-aware
176.000,35,1,0,2,38.70,22.00,25.00,0,tte-aware
176.000,39,36,0,37,35.00,22.00,25.00,0,tte-aware
177.000,35,1,0,2,39.16,22.00,25.00,1,tte-aware
177.000,39,36,0,37,45.10,22.00,25.00,0,tte-aware
179.000,20,1,0,2,33.39,22.00,25.00,0,tte-aware
179.000,39,36,0,37,37.43,22.00,25.00,1,tte-aware
180.000,11,1,0,2,32.91,22.00,25.00,0,tte-aware
180.000,20,1,0,2,37.92,22.00,25.00,0,tte-aware
181.000,11,1,0,2,33.51,22.00,25.00,1,tte-aware
182.000,20,1,0,2,33.14,22.00,25.00,0,tte-aware
185.000,20,1,0,2,38.03,22.00,25.00,0,tte-aware
186.000,10,1,0,2,57.87,25.00,28.00,1,tte-aware
186.000,24,1,0,2,34.92,18.00,21.00,0,tte-aware
187.000,3,37,0,38,32.81,22.00,25.00,0,tte-aware
188.000,3,37,0,38,31.85,22.00,25.00,0,tte-aware
188.000,20,1,0,2,28.60,22.00,25.00,0,tte-aware
189.000,3,37,0,38,34.99,22.00,25.00,0,tte-aware
190.000,20,1,0,2,34.28,22.00,25.00,0,tte-aware
192.000,20,1,0,2,34.71,22.00,25.00,0,tte-aware
193.000,3,37,0,38,35.37,22.00,25.00,0,tte-aware
194.000,40,1,0,2,36.02,22.00,25.00,0,tte-aware
195.000,20,1,0,2,32.25,22.00,25.00,0,tte-aware
195.000,40,1,0,2,34.88,22.00,25.00,0,tte-aware
196.000,3,37,0,38,37.03,22.00,25.00,0,tte-aware
196.000,11,37,0,38,42.05,22.00,25.00,0,tte-aware
196.000,25,37,0,38,50.87,25.00,28.00,1,tte-aware
196.000,40,1,0,2,40.87,22.00,25.00,1,tte-aware
197.000,11,37,0,38,42.42,22.00,25.00,0,tte-aware
197.000,20,1,0,2,37.03,22.00,25.00,0,tte-aware
198.000,3,37,0,38,39.42,22.00,25.00,0,tte-aware
198.000,11,37,0,38,40.72,22.00,25.00,0,tte-aware
198.000,20,1,0,2,33.68,22.00,25.00,0,tte-aware
198.000,43,1,0,2,34.83,22.00,25.00,0,tte-aware
200.000,11,37,0,38,38.55,22.00,25.00,1,tte-aware
200.000,43,1,0,2,32.80,22.00,25.00,0,tte-aware
201.000,24,1,0,2,37.54,22.00,25.00,0,tte-aware
203.000,20,1,0,2,35.42,22.00,25.00,0,tte-aware
203.000,24,1,0,2,38.12,22.00,25.00,0,tte-aware
204.000,20,1,0,2,35.19,22.00,25.00,0,tte-aware
204.000,24,1,0,2,37.80,22.00,25.00,0,tte-aware
205.000,3,37,0,38,40.19,22.00,25.00,0,tte-aware
205.000,10,37,0,38,60.58,25.00,28.00,1,tte-aware
205.000,24,1,0,2,35.27,22.00,25.00,0,tte-aware
205.000,38,37,0,38,34.36,22.00,25.00,0,tte-aware
206.000,24,1,0,2,35.47,22.00,25.00,0,tte-aware
206.000,38,37,0,38,31.01,22.00,25.00,0,tte-aware
206.000,43,1,0,2,37.33,22.00,25.00,0,tte-aware
207.000,26,37,0,38,44.61,22.00,25.00,0,tte-aware
207.000,38,37,0,38,41.39,22.00,25.00,1,tte-aware
207.000,43,1,0,2,39.92,22.00,25.00,1,tte-aware
208.000,24,1,0,2,39.97,22.00,25.00,0,tte-aware
209.000,3,37,0,38,35.90,22.00,25.00,0,tte-aware
209.000,24,1,0,2,38.74,22.00,25.00,0,tte-aware
210.000,20,1,0,2,33.91,22.00,25.00,0,tte-aware
210.000,24,1,0,2,34.96,22.00,25.00,0,tte-aware
211.000,3,37,0,38,34.76,22.00,25.00,0,tte-aware
211.000,20,1,0,2,39.20,22.00,25.00,1,tte-aware
211.000,22,36,0,37,30.62,22.00,25.00,0,tte-aware
212.000,3,37,0,38,33.79,22.00,25.00,1,tte-aware
212.000,22,36,0,37,35.17,22.00,25.00,0,tte-aware
213.000,22,36,0,37,39.39,22.00,25.00,0,tte-aware
214.000,24,1,0,2,36.31,22.00,25.00,0,tte-aware
215.000,22,36,0,37,37.62,22.00,25.00,0,tte-aware
216.000,22,36,0,37,28.10,22.00,25.00,1,tte-aware
217.000,11,1,0,2,35.72,22.00,25.00,0,tte-aware
217.000,24,1,0,2,35.02,22.00,25.00,0,tte-aware
217.000,40,36,0,37,35.37,22.00,25.00,0,tte-aware
218.000,40,36,0,37,31.13,22.00,25.00,0,tte-aware
219.000,11,1,0,2,35.00,22.00,25.00,0,tte-aware
219.000,24,1,0,2,38.10,22.00,25.00,1,tte-aware
220.000,25,1,0,2,56.70,25.00,28.00,1,tte-aware
221.000,11,1,0,2,37.47,22.00,25.00,1,tte-aware
223.000,10,1,0,2,41.54,25.00,28.00,1,tte-aware
223.000,40,36,0,37,37.83,22.00,25.00,0,tte-aware
225.000,40,36,0,37,32.22,22.00,25.00,0,tte-aware
228.000,40,36,0,37,40.34,22.00,25.00,0,tte-aware
229.000,26,37,0,38,40.02,22.00,25.00,0,tte-aware
229.000,40,36,0,37,36.60,22.00,25.00,0,tte-aware
231.000,48,37,0,38,34.45,22.00,25.00,0,tte-aware
232.000,40,36,0,37,38.73,22.00,25.00,0,tte-aware
233.000,22,1,0,2,39.44,22.00,25.00,0,tte-aware
234.000,8,36,0,37,40.64,22.00,25.00,0,tte-aware
234.000,22,1,0,2,38.06,22.00,25.00,0,tte-aware
235.000,40,36,0,37,41.21,22.00,25.00,0,tte-aware
236.000,11,37,0,38,33.79,22.00,25.00,0,tte-aware
236.000,43,36,0,37,31.87,22.00,25.00,0,tte-aware
