time_s,ue_id,lat,lon,serving_cell,serving_sat,sinr_dB,mobility_type,ho_state,elevation_deg
0.000,0,64.887392,35.953442,3,2,-7.71,static,connected,23.3
0.000,1,64.961638,-5.834688,3,2,-0.58,pedestrian,connected,46.1
0.000,2,62.421534,30.778682,3,2,-3.32,pedestrian,connected,27.1
0.000,3,34.183704,12.064975,2,1,-1.80,hst,connected,34.4
0.000,4,62.565382,26.703741,3,2,2.37,vehicular,connected,32.9
0.000,5,45.726054,31.901681,49,48,-15.61,vehicular,connected,13.5
0.000,6,27.369473,20.231860,2,1,-12.50,vehicular,connected,13.7
0.000,7,32.902036,-2.622221,2,1,1.59,static,connected,55.8
0.000,8,56.332579,4.752331,38,37,-0.24,static,handover,31.7
0.000,9,49.961199,19.638143,3,2,-13.55,static,connected,13.5
0.000,10,42.845380,-6.672527,38,37,-0.18,static,connected,42.9
0.000,11,43.770263,-14.229480,38,37,-1.84,hst,connected,32.9
0.000,12,28.345671,35.011798,0,4294967295,-100.00,hst,connected,0.0
0.000,13,47.637161,16.836515,2,1,-18.61,hst,connected,10.1
0.000,14,46.337957,36.996292,49,48,-9.07,pedestrian,connected,20.5
0.000,15,26.813966,-11.602172,2,1,-12.24,vehicular,connected,19.4
0.000,16,46.631287,6.878725,38,37,-2.30,vehicular,connected,36.5
0.000,17,51.092161,1.675995,38,37,8.23,vehicular,connected,54.8
0.000,18,52.608176,18.864986,38,37,-14.23,pedestrian,connected,16.3
0.000,19,55.111534,32.880510,3,2,-14.42,static,connected,14.6
0.000,20,44.924245,-15.572266,38,37,-0.81,vehicular,connected,32.6
0.000,21,62.673377,2.788855,3,2,2.37,vehicular,connected,61.3
0.000,22,55.909520,-10.824523,38,37,-6.83,vehicular,connected,35.3
0.000,23,43.825640,25.875546,0,4294967295,-100.00,pedestrian,connected,0.0
0.000,24,47.052989,-15.795101,38,37,-1.70,pedestrian,connected,35.5
0.000,25,43.572667,-6.178140,38,37,-0.40,vehicular,connected,47.1
0.000,26,45.754475,-9.663314,38,37,3.95,pedestrian,connected,50.8
0.000,27,29.085409,-2.676930,2,1,-2.09,static,connected,47.1
0.000,28,63.706717,-3.300869,3,2,3.16,static,connected,50.3
0.000,29,28.662270,14.203994,2,1,-8.51,pedestrian,connected,25.5
0.000,30,36.590403,23.043177,2,1,-14.02,vehicular,connected,11.8
0.000,31,42.112501,5.702946,38,37,-10.56,pedestrian,connected,29.3
0.000,32,51.172951,-12.213823,38,37,-0.78,static,connected,46.7
0.000,33,39.432590,-3.521291,2,1,-3.91,static,connected,34.5
